id,year,G_e-11,u_e-11,ur_ppm,method_class,codata2022_input
NIST-82,1982,6.672480,0.000430,64,ToS,1
TR&D-96,1996,6.672900,0.000500,75,ToS,1
LANL-97,1997,6.673980,0.000700,105,ToS,1
UWash-00,2000,6.674255,0.000092,14,AAF,1
BIPM-01,2001,6.675590,0.000270,40,Servo/Cav strip,1
UWup-02,2002,6.674220,0.000980,147,F-P cavity,1
MSL-03,2003,6.673870,0.000270,40,Servo torsion,1
HUST-05,2005,6.672220,0.000870,130,ToS,1
UZur-06,2006,6.674250,0.000120,18,Beam balance,1
HUST-09,2009,6.673490,0.000180,27,ToS,1
LENS-14,2014,6.671910,0.000990,148,Atom interf.,1
BIPM-14,2014,6.675540,0.000160,24,Servo/Cav strip,1
UCI-14,2014,6.674350,0.000130,19,ToS (cryo),1
HUST-T-18,2018,6.674184,0.000078,12,ToS,1
HUST-A-18,2018,6.674484,0.000077,12,AAF,1
JILA-18,2019,6.672600,0.000250,37,Pendulum F-P,1
NIST-26,2026,6.673870,0.000380,57,Servo/Cav strip,0
