id,source_paper,sections_pages_read,D1,D2,D3_count,D3_materials,D4_element,D4_material,D4_Q,D5,notes
NIST-82,"Luther & Towler, NBS Spec. Publ. 617 (1984) pp.573-576 (author paper, public domain; primary: PRL 48, 121 (1982), paywalled)","NBS617 sec.3 Apparatus (3.1-3.9), Fig.1","SUS","OUT",1,"1: [brass vacuum cylinder; windows tin-oxide coated]","fibre","quartz (Cr+Au plated, 12 um)","2e4 (Rothleitner-Schlamminger 2017 Table I; not stated in NBS617 methods)",4,"Dumbbell + fibre + damper enclosed in evacuated brass cylinder; 10.5 kg W balls on Al table outside (Fig.1 shows VACUUM WALL between)."
TR&D-96,"Rothleitner & Schlamminger, Rev. Sci. Instrum. 88, 111101 (2017), NIST author manuscript, sec.IV.A.2.b + Table I (primary: Karagioz & Izmailov, Izmer. Tekh. 39(10), 3 (1996) = Meas. Tech. 39, 979 - not accessible)","R&S review pp.13-14 + Table I","SUS","UNSOURCED","UNSOURCED","UNSOURCED","fibre","tungsten","2e4 (R&S Table I)","UNSOURCED","Enclosure geometry (D2/D3/D5) could not be adequately sourced from any open apparatus text; not coded rather than guessed. D1/D4 from review."
LANL-97,"Rothleitner & Schlamminger 2017 Table I + Gillies & Speake, Phil. Trans. R. Soc. A 372, 20140022 (2014) (Beams-apparatus lineage) + NBS617 pp.573-576 (same apparatus) (primary: Bagley & Luther, PRL 78, 3047 (1997), paywalled)","R&S Table I/II; rsta.2014.0022 sec. on Oak Ridge tungsten spheres; NBS617 sec.3","SUS","OUT",1,"1: [vacuum chamber wall (brass at NBS; material at LANL not stated)]","fibre","tungsten (two runs: uncoated; Au-coated)","9.5e2 (W) / 4.9e2 (Au-coated W) (R&S Table I)",4,"Same NBS/Beams apparatus and 10.5 kg W spheres moved to LANL (rsta.2014.0022); D2/D3/D5 coded by lineage inference - flagged in notes."
UWash-00,"Gundlach & Merkowitz, arXiv:gr-qc/0006043 (PRL 85, 2869 (2000))","pp.1-2 apparatus paragraphs; Fig.1 caption","SUS","OUT",2,"2: [Al vacuum chamber, mu-metal shield] (order relative to vacuum wall not stated; both crossed either way)","fibre","tungsten (17 um)","4e3 (R&S Table I, noted there as approximate; not stated in PRL methods)",4,"Pendulum = Au-coated Pyrex plate in Al vacuum chamber on turntable; 8 steel spheres on separate coaxial turntable outside. Autocollimator window implied."
BIPM-01,"Schlamminger et al., Metrologia 63, 025012 (2026) sec.2 (documents original BIPM apparatus) + R&S 2017 Table I + Gillies & Speake rsta.2014.0022 Table 1 (primary: Quinn et al., PRL 87, 111101 (2001), paywalled)","NIST-26 sec.2 (history, Fig.3 layout); R&S pp.16-18 + Table I","SUS","OUT",1,"1: [grounded vacuum can (electrostatic shield; material not stated)]","strip","Cu-1.8%Be","3e5 (R&S Table I)",4,"4 Cu-Te test cylinders on Al disk in vacuum can; 4 source cylinders (Cu 0.7%Te) on carousel outside vacuum envelope. Optical window for autocollimator."
UWup-02,"Kleinevoss PhD thesis WUB-DIS 2002-2 (Wuppertal; full-text scrape) + R&S 2017 sec.IV.B.3 + Fig.11 (primary; also Kleinevoss et al. 2002 private comm. per CODATA)","Thesis ch.4 (Aufbau: Vakuumtank, Wolframdraht suspension, Feldmassen-Positionierungssystem); R&S pp.22-23","SUS","OUT",1,"1: [vacuum tank wall (material not confirmed in coded text)]","fibre","tungsten wire","not stated in methods",4,"Two 2.6 m pendulums (microwave Fabry-Perot mirrors) in vacuum tank; two 576 kg brass field masses moved 0.6-2.1 m by external positioning system. D2 medium confidence - see notes."
MSL-03,"Xue et al., Natl. Sci. Rev. 7, 1803 (2020) sec. MSL-03 + R&S 2017 Table I (primary: Armstrong & Fitzgerald, PRL 91, 201101 (2003), paywalled; design: Fitzgerald et al., Metrologia 31, 301 (1994), paywalled)","NSR sec. MSL-03; R&S Table I","SUS","OUT",1,"1: [vacuum chamber wall (material not stated)]","strip","tungsten (rectangular-section fibre)","not stated (R&S Table I lists n/a)",4,"Cu cylindrical test mass, electrostatic compensation; two large source cylinders (Cu x3 runs, stainless x1) on turntable outside chamber. D2/D5 lower confidence - see notes."
HUST-05,"Li et al., Phil. Trans. R. Soc. A 372, 20140141 (PMC4173272) sec.3 (HUST-99/05 apparatus) + Xue et al. NSR 2020 sec. HUST (primary: Hu, Guo & Luo, PRD 71, 127505 (2005), paywalled)","PMC4173272 sec.3 + Fig.3 caption; NSR sec. HUST-99/05","SUS","OUT",1,"1: [vacuum chamber wall (material not stated)]","fibre","tungsten (25 um)","approx 3.6e4 (stated in NSR text, provenance CODATA-14 anelasticity discussion)",4,"Cu sphere test mass on Al beam pendulum in vacuum chamber (2e-5 Pa, ion pump); two 6.25 kg SS cylinders in air outside chamber (air-buoyancy correction confirms). D5 provisional."
UZur-06,"Schlamminger et al., arXiv:gr-qc/0609027 (PRD 74, 082001 (2006))","sec.II (A Balance, B Test Masses, D Field Masses incl. Fig.4, Fig.18 area)","SUS","OUT",2,"2: [stainless steel (1.4301) tank central-tube wall, vacuum tube wall]","fibre","tungsten wire (0.1 mm; beam-balance hang-down, non-torsional)","not applicable / not stated",4,"Two Cu test masses hang inside vacuum tube passing through central bores of two mercury-filled SS tanks (13.5 t total). Side windows in vacuum tube noted (possible D5=3 reading)."
HUST-09,"Tu et al., PRD 82, 022001 (2010) (full-text scrape) sec.II + Li et al. PMC4173272 sec.4 (primary: Luo et al., PRL 102, 240801 (2009), paywalled)","Tu2010 apparatus sec. (chamber, shielding passage, Figs.3-4 captions); PMC4173272 sec.4","SUS","IN",0,"min 0 (exp I: no layer between SMs and pendulum, both in same chamber); exp II: 1 [Au-coated Al cylinder]","fibre","annealed tungsten (25 um)","1.7e3 (stated in coded sources)",4,"Pendulum + two SS316 spheres inside same SS cylindrical grounded vacuum chamber (450 mm ID). Final value combines exp I (D3=0) and exp II (D3=1); coded minimum per code-book."
